list_id,neighborhood,room_type
1,Brooklyn,Private room
2,Manhattan,Entire home
3,Manhattan,Private room
4,Brooklyn,Entire home
5,Manhattan,Entire home
6,Manhattan,Entire home
7,Brooklyn,Private room
8,Manhattan,Private room
9,Manhattan,Private room
10,Manhattan,Entire home
11,Manhattan,Entire home
12,Manhattan,Private room
13,Brooklyn,Private room
14,Manhattan,Private room
15,Manhattan,Entire home
16,Brooklyn,Entire home
17,Brooklyn,Entire home
18,Manhattan,Private room
19,Brooklyn,Entire home
20,Manhattan,Entire home
21,Brooklyn,Entire home
22,Brooklyn,Private room
23,Brooklyn,Private room
24,Brooklyn,Private room
25,Brooklyn,Entire home
26,Brooklyn,Private room
27,Manhattan,Private room
28,Manhattan,Entire home
29,Manhattan,Private room
30,Manhattan,Entire home
31,Manhattan,Private room
32,Manhattan,Private room
33,Brooklyn,Private room
34,Manhattan,Private room
35,Brooklyn,Private room
36,Brooklyn,Private room
37,Brooklyn,Private room
38,Brooklyn,Entire home
39,Brooklyn,Private room
40,Manhattan,Shared room
41,Manhattan,Private room
42,Brooklyn,Entire home
43,Brooklyn,Private room
44,Manhattan,Private room
45,Manhattan,Entire home
46,Brooklyn,Entire home
47,Queens,Private room
48,Brooklyn,Entire home
49,Brooklyn,Entire home
50,Brooklyn,Private room
51,Brooklyn,Private room
52,Manhattan,Entire home
53,Brooklyn,Entire home
54,Brooklyn,Entire home
55,Manhattan,Entire home
56,Brooklyn,Entire home
57,Manhattan,Private room
58,Manhattan,Private room
59,Brooklyn,Private room
60,Manhattan,Entire home
61,Brooklyn,Private room
62,Manhattan,Entire home
63,Manhattan,Entire home
64,Brooklyn,Entire home
65,Brooklyn,Private room
66,Manhattan,Private room
67,Brooklyn,Entire home
68,Manhattan,Private room
69,Brooklyn,Entire home
70,Manhattan,Private room
71,Manhattan,Entire home
72,Manhattan,Entire home
73,Manhattan,Private room
74,Manhattan,Private room
75,Brooklyn,Private room
76,Manhattan,Entire home
77,Manhattan,Private room
78,Queens,Private room
79,Brooklyn,Private room
80,Manhattan,Private room
81,Brooklyn,Private room
82,Manhattan,Entire home
83,Manhattan,Entire home
84,Brooklyn,Entire home
85,Manhattan,Private room
86,Brooklyn,Entire home
87,Brooklyn,Entire home
88,Manhattan,Private room
89,Manhattan,Private room
90,Brooklyn,Private room
91,Brooklyn,Private room
92,Brooklyn,Entire home
93,Brooklyn,Private room
94,Brooklyn,Entire home
95,Brooklyn,Entire home
96,Brooklyn,Entire home
97,Manhattan,Entire home
98,Manhattan,Private room
99,Manhattan,Private room
100,Brooklyn,Entire home
101,Manhattan,Private room
102,Brooklyn,Entire home
103,Manhattan,Private room
104,Manhattan,Entire home
105,Brooklyn,Private room
106,Brooklyn,Entire home
107,Brooklyn,Entire home
108,Brooklyn,Entire home
109,Manhattan,Private room
110,Brooklyn,Entire home
111,Manhattan,Private room
112,Brooklyn,Private room
113,Manhattan,Entire home
114,Brooklyn,Entire home
115,Manhattan,Entire home
116,Manhattan,Entire home
117,Brooklyn,Entire home
118,Manhattan,Entire home
119,Manhattan,Entire home
120,Brooklyn,Private room
121,Manhattan,Entire home
122,Brooklyn,Entire home
123,Manhattan,Entire home
124,Manhattan,Entire home
125,Brooklyn,Private room
126,Brooklyn,Private room
127,Manhattan,Entire home
128,Manhattan,Private room
129,Brooklyn,Private room
130,Manhattan,Entire home
131,Brooklyn,Private room
132,Manhattan,Entire home
133,Brooklyn,Private room
134,Manhattan,Entire home
135,Manhattan,Private room
136,Manhattan,Entire home
137,Brooklyn,Private room
138,Brooklyn,Private room
139,Brooklyn,Entire home
140,Brooklyn,Private room
141,Brooklyn,Entire home
142,Brooklyn,Entire home
143,Brooklyn,Entire home
144,Queens,Private room
145,Brooklyn,Entire home
146,Brooklyn,Entire home
147,Brooklyn,Entire home
148,Manhattan,Entire home
149,Brooklyn,Private room
150,Brooklyn,Private room
151,Manhattan,Private room
152,Brooklyn,Private room
153,Brooklyn,Private room
154,Brooklyn,Entire home
155,Manhattan,Private room
156,Manhattan,Entire home
157,Brooklyn,Entire home
158,Manhattan,Entire home
159,Brooklyn,Entire home
160,Manhattan,Entire home
161,Brooklyn,Private room
162,Queens,Private room
163,Brooklyn,Entire home
164,Brooklyn,Private room
165,Manhattan,Entire home
166,Brooklyn,Entire home
167,Manhattan,Entire home
168,Brooklyn,Private room
169,Brooklyn,Entire home
170,Staten Island,Private room
171,Brooklyn,Private room
172,Bronx,Private room
173,Brooklyn,Entire home
174,Manhattan,Private room
175,Manhattan,Entire home
176,Brooklyn,Private room
177,Manhattan,Entire home
178,Manhattan,Entire home
179,Manhattan,Entire home
180,Manhattan,Entire home
181,Brooklyn,Private room
182,Queens,Entire home
183,Manhattan,Private room
184,Brooklyn,Entire home
185,Brooklyn,Entire home
186,Brooklyn,Private room
187,Brooklyn,Private room
188,Manhattan,Private room
189,Brooklyn,Entire home
190,Manhattan,Entire home
191,Manhattan,Entire home
192,Manhattan,Entire home
193,Brooklyn,Entire home
194,Manhattan,Private room
195,Manhattan,Private room
196,Manhattan,Private room
197,Queens,Private room
198,Manhattan,Entire home
199,Brooklyn,Private room
200,Queens,Entire home
201,Queens,Private room
202,Queens,Entire home
203,Brooklyn,Entire home
204,Manhattan,Shared room
205,Manhattan,Private room
206,Brooklyn,Private room
207,Manhattan,Entire home
208,Bronx,Private room
209,Manhattan,Private room
210,Brooklyn,Entire home
211,Brooklyn,Private room
212,Manhattan,Private room
213,Manhattan,Entire home
214,Brooklyn,Private room
215,Brooklyn,Private room
216,Manhattan,Entire home
217,Brooklyn,Entire home
218,Manhattan,Private room
219,Queens,Entire home
220,Brooklyn,Entire home
221,Manhattan,Entire home
222,Manhattan,Entire home
223,Manhattan,Entire home
224,Manhattan,Entire home
225,Manhattan,Entire home
226,Manhattan,Private room
227,Brooklyn,Private room
228,Manhattan,Private room
229,Manhattan,Entire home
230,Queens,Entire home
231,Brooklyn,Entire home
232,Manhattan,Entire home
233,Manhattan,Entire home
234,Manhattan,Entire home
235,Manhattan,Entire home
236,Manhattan,Entire home
237,Manhattan,Private room
238,Manhattan,Private room
239,Manhattan,Entire home
240,Manhattan,Entire home
241,Manhattan,Entire home
242,Manhattan,Entire home
243,Manhattan,Entire home
244,Manhattan,Private room
245,Manhattan,Private room
246,Manhattan,Entire home
247,Brooklyn,Entire home
248,Manhattan,Entire home
249,Brooklyn,Entire home
250,Staten Island,Private room
251,Staten Island,Private room
252,Staten Island,Private room
253,Manhattan,Entire home
254,Manhattan,Entire home
255,Brooklyn,Entire home
256,Brooklyn,Private room
257,Staten Island,Private room
258,Queens,Entire home
259,Brooklyn,Private room
260,Brooklyn,Private room
261,Bronx,Private room
262,Bronx,Entire home
263,Brooklyn,Entire home
264,Manhattan,Entire home
265,Brooklyn,Private room
266,Manhattan,Private room
267,Brooklyn,Private room
268,Manhattan,Entire home
269,Brooklyn,Private room
270,Brooklyn,Private room
271,Brooklyn,Private room
272,Brooklyn,Private room
273,Manhattan,Entire home
274,Manhattan,Private room
275,Manhattan,Entire home
276,Brooklyn,Private room
277,Brooklyn,Private room
278,Manhattan,Entire home
279,Brooklyn,Entire home
280,Brooklyn,Entire home
281,Manhattan,Private room
282,Brooklyn,Entire home
283,Brooklyn,Entire home
284,Brooklyn,Private room
285,Manhattan,Entire home
286,Manhattan,Private room
287,Brooklyn,Entire home
288,Manhattan,Entire home
289,Brooklyn,Entire home
290,Brooklyn,Entire home
291,Manhattan,Entire home
292,Brooklyn,Entire home
293,Manhattan,Private room
294,Manhattan,Private room
295,Manhattan,Private room
296,Brooklyn,Entire home
297,Manhattan,Entire home
298,Brooklyn,Entire home
299,Brooklyn,Private room
300,Manhattan,Entire home
301,Manhattan,Entire home
302,Brooklyn,Private room
303,Manhattan,Private room
304,Manhattan,Private room
305,Manhattan,Entire home
306,Manhattan,Entire home
307,Manhattan,Entire home
308,Manhattan,Entire home
