list_id,host_id,price,min_nights
1,2787,149,1
2,2845,225,1
3,4632,150,3
4,4869,89,1
5,7192,80,10
6,7322,200,3
7,7356,60,45
8,8967,79,2
9,7490,79,2
10,7549,150,1
11,7702,135,5
12,7989,85,2
13,9744,89,4
14,11528,85,2
15,11975,120,90
16,15991,140,2
17,17571,215,2
18,18946,140,1
19,20950,99,3
20,17985,190,7
21,21207,299,3
22,22486,130,2
23,22486,80,1
24,22486,110,2
25,25183,120,2
26,25326,60,1
27,26394,80,4
28,30193,150,10
29,31374,44,3
30,21904,180,14
31,32294,50,3
32,32045,52,2
33,32169,55,4
34,32294,50,3
35,35935,70,1
36,9744,89,4
37,7355,35,60
38,44145,85,2
39,45445,150,1
40,7549,40,1
41,46978,68,2
42,47610,120,3
43,47618,120,7
44,16800,135,4
45,47727,150,7
46,49670,150,29
47,50124,130,3
48,50148,110,7
49,50846,115,3
50,52335,80,3
51,54275,80,1
52,56094,151,2
53,56104,228,3
54,56246,144,2
55,56284,200,7
56,56512,150,30
57,59023,110,5
58,59734,69,2
59,32169,49,4
60,60049,180,30
61,60252,80,2
62,60278,375,180
63,61491,250,2
64,63588,200,30
65,63613,55,7
66,63924,52,30
67,64056,225,3
68,64442,80,1
69,64522,275,1
70,4396,99,1
71,65837,225,4
72,66035,230,9
73,66243,51,7
74,68428,65,2
75,68599,105,2
76,69829,190,5
77,69942,200,1
78,70091,70,30
79,71512,95,3
80,71876,150,3
81,72014,145,3
82,73051,110,31
83,73128,285,5
84,73469,130,6
85,44263,94,30
86,74303,800,1
87,74857,105,3
88,62407,60,3
89,76627,50,1
90,72014,85,3
91,961342,65,4
92,78460,131,4
93,51038,98,7
94,79070,250,7
95,79402,100,5
96,44145,105,3
97,42032,140,3
98,82685,89,1
99,83257,98,30
100,87773,125,7
101,32294,60,3
102,11481,175,2
103,63318,65,2
104,93790,500,4
105,97219,101,3
106,97797,220,30
107,87773,125,90
108,105538,80,30
109,107628,100,2
110,109589,200,30
111,59734,59,2
112,51038,125,2
113,112793,140,7
114,42273,120,30
115,72062,350,2
116,115157,199,5
117,115307,325,3
118,115560,235,6
119,72062,225,1
120,118971,99,2
121,119510,170,2
122,119588,400,2
123,119900,170,7
124,120223,100,4
125,65091,75,2
126,6197784,90,1
127,124352,150,5
128,124797,85,15
129,35935,70,3
130,126607,120,3
131,127608,89,3
132,125857,185,5
133,129352,50,3
134,120335,105,3
135,117287,130,2
136,135619,115,29
137,137292,77,2
138,137814,76,2
139,137974,125,3
140,116599,135,4
141,138579,250,29
142,139612,199,3
143,139874,140,2
144,140025,140,2
145,137974,115,3
146,142833,160,3
147,143027,195,4
148,143048,195,3
149,72014,80,3
150,149929,44,8
151,120291,156,4
152,62165,85,15
153,142684,125,3
154,137432,115,15
155,157798,69,2
156,158284,225,45
157,159370,125,6
158,92788,219,4
159,165789,475,3
160,168417,99,1
161,168525,69,4
162,110506,79,30
163,170510,135,2
164,171851,250,3
165,174025,250,3
166,180083,250,2
167,181167,80,3
168,137814,70,2
169,11481,165,2
170,185978,70,2
171,177536,50,2
172,190409,40,1
173,193360,150,2
174,72062,125,1
175,193722,196,3
176,181376,110,2
177,193637,170,3
178,126607,165,3
179,201297,150,26
180,202249,100,2
181,67778,65,2
182,204539,350,8
183,867225,99,4
184,204724,200,4
185,8198,150,5
186,209460,90,3
187,210746,120,3
188,212722,75,3
189,214148,175,26
190,214287,125,3
191,218404,275,1
192,221873,299,2
193,9744,135,5
194,236421,130,14
195,236655,83,1
196,237329,123,1
197,27848,55,2
198,240360,195,5
199,247432,80,2
200,204539,98,30
201,204539,140,7
202,204539,265,7
203,10889,249,2
204,255583,105,6
205,253385,200,30
206,210746,100,2
207,256161,121,1
208,190409,45,1
209,258164,100,5
210,260709,140,2
211,262138,71,2
212,88209,130,2
213,263414,199,5
214,168525,69,4
215,264928,68,3
216,267593,130,1
217,268014,195,2
218,256161,64,1
219,272006,140,2
220,199392,159,2
221,239208,189,3
222,274557,250,3
223,275459,239,3
224,275578,305,2
225,276291,155,3
226,277379,60,1
227,277394,135,2
228,279797,120,7
229,282927,150,3
230,204539,140,14
231,274782,135,2
232,186084,250,4
233,288031,250,30
234,289653,500,4
235,99212,225,5
236,292204,125,28
237,256161,92,1
238,249372,175,2
239,292630,99,2
240,293394,195,4
241,126607,140,3
242,295760,135,2
243,291112,500,2
244,297176,80,14
245,297769,120,4
246,23619,110,200
247,281764,65,3
248,303882,130,50
249,197755,99,3
250,303939,36,2
251,303939,37,2
252,303939,37,2
253,306545,175,3
254,306605,205,9
255,306739,285,3
256,308875,59,2
257,303939,36,2
258,307962,99,5
259,308652,39,1
260,310458,60,14
261,295128,90,2
262,310670,105,2
263,170510,135,2
264,306545,390,5
265,311286,70,3
266,312288,75,7
267,312722,60,17
268,146944,200,3
269,313317,100,3
270,311286,70,4
271,314256,110,6
272,314582,60,2
273,7310,90,14
274,46978,68,2
275,317809,115,2
276,319092,75,5
277,320422,60,3
278,320450,129,7
279,320761,130,10
280,320538,95,4
281,321756,75,3
282,321934,175,2
283,322884,190,3
284,322716,49,21
285,324460,212,3
286,314941,95,1
287,325389,140,2
288,136227,135,6
289,327673,150,2
290,329436,190,3
291,101597,124,28
292,330347,135,30
293,332189,122,3
294,323517,109,1
295,338454,85,30
296,240427,145,3
297,342054,195,11
298,282655,250,2
299,343250,125,3
300,281229,575,2
301,352168,150,30
302,155689,70,5
303,353965,90,2
304,354330,65,3
305,72062,500,2
306,361855,250,3
307,363834,125,25
308,364955,200,30
309,365153,229,1
310,369015,90,30
311,373085,110,13
312,340692,59,3
313,211877,195,4
314,389924,169,1
315,331328,113,14
316,391325,250,14
317,265109,115,2
318,394752,55,2
319,308875,69,2
320,401696,150,3
321,118971,169,2
322,417504,179,3
323,134355,150,3
324,422561,135,4
325,425506,350,6
326,430188,120,14
327,434987,71,2
328,417504,349,3
329,417504,349,3
330,438133,165,30
331,417504,249,3
332,448312,100,3
333,448312,200,3
334,449787,169,4
335,451545,185,3
336,453519,65,2
337,454756,130,35
338,456638,199,30
339,410094,225,2
340,417504,179,3
341,459054,150,5
342,462776,139,1
343,464506,95,3
344,322716,79,15
345,327900,150,2
346,116599,650,5
347,209460,90,3
348,25183,120,2
349,35375,80,1
350,503800,100,90
351,478395,175,2
352,473113,120,5
353,509341,140,7
354,509918,200,5
355,116599,165,4
356,31374,125,4
357,520279,130,30
358,522065,65,7
359,522164,123,30
360,523218,67,2
361,526653,50,1
362,526805,130,7
363,530032,100,3
364,178043,212,21
365,465278,190,3
366,417504,599,3
367,251176,249,5
368,547386,70,27
369,322716,100,30
370,551055,60,3
371,552679,135,2
372,306739,175,3
373,3088389,120,5
374,568568,169,18
375,572527,165,7
376,573316,90,1
377,571952,225,2
378,181376,95,2
379,314582,55,2
380,275582,85,10
381,579495,199,14
382,314941,211,1
383,582598,145,6
384,567187,65,14
385,127772,99,1
386,585166,110,4
387,209460,80,3
388,593115,150,30
389,2248897,110,4
390,585458,290,2
391,599354,87,2
392,138069,190,4
393,262812,200,2
394,611716,165,2
395,617990,110,2
396,622460,395,2
397,622855,99,2
398,308652,39,1
399,627217,189,2
400,620288,85,1
401,23276,260,30
402,256161,122,1
403,275563,165,2
404,85330,97,3
405,651390,170,4
406,507186,125,2
407,653405,130,4
408,652842,225,10
409,663764,50,2
410,663879,170,3
411,665013,132,4
412,663384,250,7
413,674970,141,5
414,680818,64,20
415,622866,249,3
416,683975,79,2
417,686147,185,2
418,686768,120,3
419,687361,495,1
420,689661,375,3
421,630453,175,3
422,277747,150,4
423,616825,259,8
424,299755,96,1
425,404424,145,7
426,703156,200,4
427,706418,95,5
428,709434,250,4
429,709334,295,2
430,715807,175,3
431,716064,451,2
432,718349,165,2
433,720320,250,4
434,716306,77,1
435,726333,250,4
436,722320,129,1
437,216191,98,2
438,731855,150,2
439,731904,95,7
440,256161,55,3
441,732535,300,2
442,733894,42,40
443,737585,125,2
444,739499,175,3
445,745069,75,3
446,656841,255,45
447,757166,72,31
448,758441,165,1
449,573065,165,5
450,759583,75,3
451,762563,130,5
452,465589,139,2
453,54275,88,1
454,54275,80,1
455,759883,150,2
456,769247,200,3
457,770831,200,2
458,733894,42,40
459,772300,90,6
460,1856604,295,3
461,776490,450,5
462,776645,130,2
463,242506,89,3
464,781647,198,5
465,627217,99,2
466,32169,46,4
467,69439,140,2
468,787273,500,7
469,867225,75,5
470,733894,33,44
471,791287,250,31
472,792159,60,3
473,793620,75,2
474,795640,350,5
475,306605,205,9
476,795889,219,5
477,22486,60,1
478,789257,185,2
479,800982,190,3
480,720558,105,28
481,803086,250,2
482,747698,175,65
483,805344,65,2
484,806112,75,2
485,806214,37,4
486,806774,85,2
487,807642,106,7
488,812814,79,2
489,67778,85,2
490,803086,170,2
491,302772,115,3
492,781647,89,5
493,826192,49,3
494,826459,91,3
495,829652,400,2
496,833926,150,2
497,836168,2000,30
498,842125,97,3
499,844862,100,4
500,846309,179,4
