list_id,host_id,host_name,neighborhood,room_type,price,min_nights,num_reviews,reviews_per_mon,last_review
1,2787,John,Brooklyn,Private room,149,1,9,0.21,10/19/2018
2,2845,Jennifer,Manhattan,Entire home,225,1,45,0.38,5/21/2019
3,4632,Elisabeth,Manhattan,Private room,150,3,,,
4,4869,LisaRoxanne,Brooklyn,Entire home,89,1,270,4.64,7/5/2019
5,7192,Laura,Manhattan,Entire home,80,10,9,0.1,11/19/2018
6,7322,Chris,Manhattan,Entire home,200,3,74,0.59,6/22/2019
7,7356,Garon,Brooklyn,Private room,60,45,49,0.4,10/5/2017
8,8967,Shunichi,Manhattan,Private room,79,2,430,3.47,6/24/2019
9,7490,MaryEllen,Manhattan,Private room,79,2,118,0.99,7/21/2017
10,7549,Ben,Manhattan,Entire home,150,1,160,1.33,6/9/2019
11,7702,Lena,Manhattan,Entire home,135,5,53,0.43,6/22/2019
12,7989,Kate,Manhattan,Private room,85,2,188,1.5,6/23/2019
13,9744,Laurie,Brooklyn,Private room,89,4,167,1.34,6/24/2019
14,11528,Claudio,Manhattan,Private room,85,2,113,0.91,7/5/2019
15,11975,Alina,Manhattan,Entire home,120,90,27,0.22,10/31/2018
16,15991,Allen & Irina,Brooklyn,Entire home,140,2,148,1.2,6/29/2019
17,17571,Jane,Brooklyn,Entire home,215,2,198,1.72,6/28/2019
18,18946,Doti,Manhattan,Private room,140,1,260,2.12,7/1/2019
19,20950,Adam And Charity,Brooklyn,Entire home,99,3,53,4.44,6/22/2019
20,17985,Sing,Manhattan,Entire home,190,7,,,
21,21207,Chaya,Brooklyn,Entire home,299,3,9,0.07,12/28/2011
22,22486,Lisel,Brooklyn,Private room,130,2,130,1.09,7/1/2019
23,22486,Lisel,Brooklyn,Private room,80,1,39,0.37,1/1/2019
24,22486,Lisel,Brooklyn,Private room,110,2,71,0.61,7/2/2019
25,25183,Nathalie,Brooklyn,Entire home,120,2,88,0.73,6/19/2019
26,25326,Gregory,Brooklyn,Private room,60,1,19,1.37,6/23/2019
27,26394,Claude & Sophie,Manhattan,Private room,80,4,,,
28,30193,Tommi,Manhattan,Entire home,150,10,58,0.49,8/13/2017
29,31374,Shon,Manhattan,Private room,44,3,108,1.11,6/15/2019
30,21904,Dana,Manhattan,Entire home,180,14,29,0.24,4/19/2019
31,32294,Ssameer Or Trip,Manhattan,Private room,50,3,242,2.04,6/1/2019
32,32045,Teri,Manhattan,Private room,52,2,88,1.42,6/14/2019
33,32169,Andrea,Brooklyn,Private room,55,4,197,1.65,6/15/2019
34,32294,Ssameer Or Trip,Manhattan,Private room,50,3,273,2.37,7/1/2019
35,35935,Angela,Brooklyn,Private room,70,1,74,0.66,5/12/2019
36,9744,Laurie,Brooklyn,Private room,89,4,168,1.41,6/21/2019
37,7355,Vt,Brooklyn,Private room,35,60,,,
38,44145,Tyrome,Brooklyn,Entire home,85,2,231,1.96,6/22/2019
39,45445,Harriet,Brooklyn,Private room,150,1,,,
40,7549,Ben,Manhattan,Shared room,40,1,214,1.81,7/5/2019
41,46978,Edward,Manhattan,Private room,68,2,245,2.08,6/21/2019
42,47610,Abdul,Brooklyn,Entire home,120,3,15,0.39,5/27/2019
43,47618,Yolande,Brooklyn,Private room,120,7,25,0.23,9/30/2018
44,16800,Cyn,Manhattan,Private room,135,4,81,0.69,6/16/2019
45,47727,Earl,Manhattan,Entire home,150,7,97,0.84,6/13/2019
46,49670,Rana,Brooklyn,Entire home,150,29,11,0.49,6/5/2019
47,50124,Orestes,Queens,Private room,130,3,248,2.25,7/1/2019
48,50148,Adreinne,Brooklyn,Entire home,110,7,61,0.52,5/25/2019
49,50846,Jennifer,Brooklyn,Entire home,115,3,11,0.1,1/1/2017
50,52335,Alexander,Brooklyn,Private room,80,3,135,1.16,6/17/2019
51,54275,JT And Tiziana,Brooklyn,Private room,80,1,112,1.01,6/16/2019
52,56094,Joya,Manhattan,Entire home,151,2,73,0.63,7/7/2019
53,56104,James,Brooklyn,Entire home,228,3,82,0.7,5/17/2019
54,56246,Jeanne,Brooklyn,Entire home,144,2,328,2.82,6/29/2019
55,56284,Francesca,Manhattan,Entire home,200,7,19,0.22,3/25/2019
56,56512,Joanna,Brooklyn,Entire home,150,30,105,0.9,6/22/2019
57,59023,Bianca,Manhattan,Private room,110,5,19,0.17,5/18/2019
58,59734,Luiz,Manhattan,Private room,69,2,289,2.49,6/9/2019
59,32169,Andrea,Brooklyn,Private room,49,4,138,1.19,6/4/2019
60,60049,Ted,Manhattan,Entire home,180,30,21,0.3,6/29/2019
61,60252,Cristina,Brooklyn,Private room,80,2,42,0.38,6/30/2019
62,60278,Petra,Manhattan,Entire home,375,180,5,0.12,11/3/2018
63,61491,D,Manhattan,Entire home,250,2,66,0.57,3/30/2019
64,63588,Dimitri,Brooklyn,Entire home,200,30,143,1.33,1/26/2019
65,63613,Patricia,Brooklyn,Private room,55,7,27,0.23,9/30/2017
66,63924,Mark,Manhattan,Private room,52,30,191,1.65,5/16/2019
67,64056,Sara,Brooklyn,Entire home,225,3,4,0.16,9/24/2017
68,64442,Reka,Manhattan,Private room,80,1,338,4.72,7/1/2019
69,64522,Daniel,Brooklyn,Entire home,275,1,148,1.4,6/23/2019
